Starting
160805
25960
2808
17492
2671
3738
3158
3324
6672
3006
3503
3302
3254
3376
5202
2839
2938
2121
3213
12618
2707
2835
2677
3173
2829
6289
2152
3319
2662
3270
10716
1945
3853
2512
3887
2937
2798
4710
2776
2549
2776
2992
2059

