Starting
443872
36110
13710
6519
81012
7871
7581
8676
6315
9554
12336
9743
8073
9261
8156
7966
7316
8662
6501
9003
9763
9350
16858
8713
6950
6666
6485
6062
7200
8989
8970
8200
6861
8972
8050
8224
7840
8450
8123
8672
8182
28642
9034
10708
8332
9127
7703
7576
6865
8771
25159
8263
